Product,SVM_TYP_CD,MVM_DRC_CD,SVC_FEA_TYP_CD
Export,WFM,E,MPB
Export,WFM,E,MTP
Export,WWS,E,AGC
Export,WWS,E,ALL
Export,WWS,E,APB
Export,WWS,E,ATB
Export,WWS,E,BPB
Export,WWS,E,BTP
Export,WWS,E,GPB
Export,WWS,E,GTP
Export,WWS,E,MPB
Export,WWS,E,MTP
Export,WWS,E,SPB
Export,WWS,E,STP
Export,WXP,E,ALL
Export,WXP,E,BAP
Export,WXP,E,BAT
Export,WXP,E,BBP
Export,WXP,E,BBT
Export,WXP,E,BDP
Export,WXP,E,BDT
Export,WXP,E,BPB
Export,WXP,E,BTP
Export,WXP,E,MAP
Export,WXP,E,MAT
Export,WXP,E,MBP
Export,WXP,E,MBT
Export,WXP,E,MDP
Export,WXP,E,MDT
Export,WXP,E,MPB
Export,WXP,E,MTP
Export,WXS,E,AGC
Export,WXS,E,ALL
Export,WXS,E,APB
Export,WXS,E,ATB
Export,WXS,E,BPB
Export,WXS,E,BTP
Export,WXS,E,CCB
Export,WXS,E,CPB
Export,WXS,E,CSB
Export,WXS,E,GCF
Export,WXS,E,GFB
Export,WXS,E,GPB
Export,WXS,E,GTP
Export,WXS,E,MCF
Export,WXS,E,MFB
Export,WXS,E,MPB
Export,WXS,E,MTP
Export,WXS,E,SCF
Export,WXS,E,SFB
Export,WXS,E,SPB
Export,WXS,E,STP
Export,XPD,E,AGC
Export,XPD,E,ALL
Export,XPD,E,APB
Export,XPD,E,ATB
Export,XPD,E,BPB
Export,XPD,E,BTP
Export,XPD,E,CPB
Export,XPD,E,GCF
Export,XPD,E,GFB
Export,XPD,E,GPB
Export,XPD,E,GTP
Export,XPD,E,MCF
Export,XPD,E,MFB
Export,XPD,E,MPB
Export,XPD,E,MTP
Export,XPD,E,SCF
Export,XPD,E,SFB
Export,XPD,E,SPB
Export,XPD,E,STP
Export,XPR,E,AGC
Export,XPR,E,ALL
Export,XPR,E,APB
Export,XPR,E,ATB
Export,XPR,E,BPB
Export,XPR,E,BTP
Export,XPR,E,CCB
Export,XPR,E,CPB
Export,XPR,E,CSB
Export,XPR,E,GCF
Export,XPR,E,GFB
Export,XPR,E,GPB
Export,XPR,E,GTP
Export,XPR,E,MCF
Export,XPR,E,MFB
Export,XPR,E,MPB
Export,XPR,E,MTP
Export,XPR,E,SCF
Export,XPR,E,SFB
Export,XPR,E,SPB
Export,XPR,E,STP
GND_CWT,GND,N,CBC
GND_CWT,GND,N,CFC
GND_CWT,GND,N,CWT
GND_Com,GND,E,AGC
GND_Com,GND,E,ALL
GND_Com,GND,E,ATB
GND_Com,GND,E,BPB
GND_Com,GND,E,BTP
GND_Com,GND,E,CCB
GND_Com,GND,E,CPB
GND_Com,GND,E,CSB
GND_Com,GND,E,GCF
GND_Com,GND,E,GFB
GND_Com,GND,E,GPB
GND_Com,GND,E,GTP
GND_Com,GND,E,MCF
GND_Com,GND,E,MFB
GND_Com,GND,E,MPB
GND_Com,GND,E,MTP
GND_Com,GND,E,STP
GND_Com,GND,I,AFC
GND_Com,GND,I,AGC
GND_Com,GND,I,ALL
GND_Com,GND,I,ATB
GND_Com,GND,I,BFC
GND_Com,GND,I,BTP
GND_Com,GND,I,GCF
GND_Com,GND,I,GFB
GND_Com,GND,I,GFC
GND_Com,GND,I,GTP
GND_Com,GND,I,MFC
GND_Com,GND,I,MTP
GND_Com,GND,I,SFC
GND_Com,GND,I,STP
GND_Com,GND,N,APB
GND_Com,GND,N,SFC
GND_Com,GND,N,SPB
GND_Com,GND,N,STP
GND_Resi,GND,N,APC
GND_Resi,GND,N,APR
GND_Resi,GND,N,FFC
GND_Resi,GND,N,SCR
GND_Resi,GND,N,SFR
GND_Resi,GND,N,SPR
GND_Resi,GND,N,STC
GND_Resi,GND,N,STR
GND_USPS,USB,N,SCR
GND_USPS,USG,N,SCR
GND_USPS,USL,N,SCR
GND_USPS,USM,N,SCR
GND_Unclassified,GND,N,CBB
Import,3DM,I,AFC
Import,3DM,I,ALL
Import,3DM,I,ATB
Import,3DM,I,BFC
Import,3DM,I,BTP
Import,3DM,I,MFC
Import,3DM,I,MTP
Import,3DM,I,SFC
Import,3DM,I,STP
Import,EXW,I,AFC
Import,EXW,I,AGC
Import,EXW,I,ALL
Import,EXW,I,ATB
Import,EXW,I,BFC
Import,EXW,I,BTP
Import,EXW,I,GFC
Import,EXW,I,GTP
Import,EXW,I,MFC
Import,EXW,I,MTP
Import,EXW,I,SFC
Import,EXW,I,STP
Import,WFM,I,ALL
Import,WFM,I,BAF
Import,WFM,I,BAT
Import,WFM,I,BBF
Import,WFM,I,BBT
Import,WFM,I,BDF
Import,WFM,I,BDT
Import,WFM,I,BFC
Import,WFM,I,BTP
