MKG_SVP_DSC_TE,Product,MVM_DRC_CD,SVM_TYP_CD,SVC_FEA_TYP_CD,PKG_CHA_TYP_CD,ASY_SVC_TYP_CD,PKG_ACQ_MTH_TYP_CD
UPS Next Day Air^RM Early - Single Piece Commercial - Third Party,1DA,N,1DM,STP,ALL,GDL,ALL
UPS Next Day Air^RM Early - Single Piece Commercial Letter - Third Party,1DA,N,1DM,STP,LTR,GDL,ALL
UPS Next Day Air^RM Early - Single Piece Commercial Package - Third Party,1DA,N,1DM,STP,PKG,GDL,ALL
UPS Next Day Air^RM Early - Single Piece Residential - Third Party,1DA,N,1DM,STR,ALL,GDL,ALL
UPS Next Day Air^RM Early - Single Piece Residential Letter - Third Party,1DA,N,1DM,STR,LTR,GDL,ALL
UPS Next Day Air^RM Early - Single Piece Residential Package - Third Party,1DA,N,1DM,STR,PKG,GDL,ALL
UPS Next Day Air Saver^RM,1DA,N,1DP,ALL,ALL,GDL,ALL
UPS Next Day Air Saver^RM - Letter - Consignee Billing - Regular Pickup,1DA,N,1DP,CBB,LTR,GDL,REG
UPS Next Day Air Saver^RM - Package - Consignee Billing - Regular Pickup,1DA,N,1DP,CBB,PKG,GDL,REG
UPS Next Day Air Saver^RM  - Hundredweight - Consignee Billing - Regular Pickup,Air_CWT,N,1DP,CBC,PKG,GDL,REG
UPS Next Day Air Saver^RM - Hundredweight - Freight Collect - Regular Pickup,Air_CWT,N,1DP,CFC,ALL,GDL,REG
UPS Next Day Air Saver^RM - Hundredweight - Package - Freight Collect - Regular Pickup,Air_CWT,N,1DP,CFC,PKG,GDL,REG
UPS Next Day Air Saver^RM - Hundredweight - Third Party - Regular Pickup,Air_CWT,N,1DP,CTP,ALL,GDL,REG
UPS Next Day Air Saver^RM - Hundredweight - Package - Third Party - Regular Pickup,Air_CWT,N,1DP,CTP,PKG,GDL,REG
UPS Next Day Air Saver^RM - Hundredweight - Regular Pickup,Air_CWT,N,1DP,CWT,ALL,GDL,REG
UPS Next Day Air Saver^RM - Hundredweight - Package - Regular Pickup,Air_CWT,N,1DP,CWT,PKG,GDL,REG
UPS Next Day Air Saver^RM - Single Piece Residential - Freight Collect,1DA,N,1DP,FFC,ALL,GDL,ALL
UPS Next Day Air Saver^RM - Single Piece Residential Letter - Freight Collect Frt,1DA,N,1DP,FFC,LTR,GDL,ALL
UPS Next Day Air Saver^RM - Single Piece Residential Package - Freight Collect Frt,1DA,N,1DP,FFC,PKG,GDL,ALL
UPS Next Day Air Saver^RM - Multi Piece Package - Freight Collect,1DA,N,1DP,MFC,PKG,GDL,ALL
UPS Next Day Air Saver^RM - Multi Piece Package,1DA,N,1DP,MSH,PKG,GDL,ALL
UPS Next Day Air Saver^RM - Multi Piece Package - Third Party,1DA,N,1DP,MTP,PKG,GDL,ALL
UPS Next Day Air Saver^RM - Single Piece Undeliverable Return - Letter - Prepaid,1DA,N,1DP,RTB,LTR,GDL,ALL
UPS Next Day Air Saver^RM - Single Piece Undeliverable Return - Package - Prepaid,1DA,N,1DP,RTB,PKG,GDL,ALL
UPS Next Day Air Saver^RM - Hundredweight - Undeliverable Return - Package - Prepaid,Air_CWT,N,1DP,RTM,PKG,GDL,REG
UPS Next Day Air Saver^RM - Single Piece Undeliverable Return - Letter - Third Party,1DA,N,1DP,RXB,LTR,GDL,ALL
UPS Next Day Air Saver^RM - Single Piece Undeliverable Return - Package - Third Party,1DA,N,1DP,RXB,PKG,GDL,ALL
UPS Next Day Air Saver^RM - Hundredweight - Undeliverable Return - Package - Third Party,Air_CWT,N,1DP,RXM,PKG,GDL,REG
UPS Next Day Air Saver^RM - Undeliverable Return - Letter - Freight Collect,1DA,N,1DP,RZB,LTR,GDL,ALL
UPS Next Day Air Saver^RM - Undeliverable Return - Package - Freight Collect,1DA,N,1DP,RZB,PKG,GDL,ALL
UPS Next Day Air Saver^RM - Hundredweight - Undeliverable Package - Freight Collect,Air_CWT,N,1DP,RZM,PKG,GDL,REG
UPS Next Day Air Saver^RM - Single Piece Residential Package - Prepaid,1DA,N,1DP,SCR,ALL,GDL,ALL
UPS Next Day Air Saver^RM - Single Piece Residential Letter - Prepaid Frt,1DA,N,1DP,SCR,LTR,GDL,ALL
UPS Next Day Air Saver^RM - Single Piece Residential Package - Prepaid Frt,1DA,N,1DP,SCR,PKG,GDL,ALL
UPS Next Day Air Saver^RM - Single Piece Letter - Prepaid Frt,1DA,N,1DP,SCX,LTR,GDL,ALL
UPS Next Day Air Saver^RM - Single Piece Package - Prepaid Frt,1DA,N,1DP,SCX,PKG,GDL,ALL
UPS Next Day Air Saver^RM - Single Piece Commercial - Freight Collect,1DA,N,1DP,SFC,ALL,GDL,ALL
